name,email,phone,telegram,url
RCM RESOURCES PTE LTD,,65523551,,https://www.fastjobs.sg/singapore-job-ad/1970690/general-worker/rcm-resources-pte-ltd/
LEADER ENGRG PTE LTD,judy@leaderengineering.com.sg,96716856,,https://www.fastjobs.sg/singapore-job-ad/1969733/admin-clerk-cum-coordinator/leader-engrg-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,96383519,@sefffffRapid,https://www.fastjobs.sg/singapore-job-ad/1971149/mon-fri-only/rapid-recruitment-asia-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,96383519,"@sefffff,@sefffffRapid",https://www.fastjobs.sg/singapore-job-ad/1971148/backend-assistant-airport/rapid-recruitment-asia-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,659638,@sefffff,https://www.fastjobs.sg/singapore-job-ad/1971147/no-exp-ok-up5kmth/rapid-recruitment-asia-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,96383519,@sefffff,https://www.fastjobs.sg/singapore-job-ad/1968515/up26kmth-daynight-cash-packer/rapid-recruitment-asia-pte-ltd/
Recruit Express Pte Ltd,angelateh@recruitexpress.com.sg,67860100,,https://www.fastjobs.sg/singapore-job-ad/1967392/36-months-temp-retail-assistants/recruit-express-pte-ltd/
ANRADUS PTE. LTD.,,65229,,https://www.fastjobs.sg/singapore-job-ad/1970644/class-4-lorry-driver-24ft/anradus-pte-ltd/
CORNERSTONE GLOBAL PARTNERS PTE. LTD.,sharica.tan@cgptalent.com,"83022018,08302130",,https://www.fastjobs.sg/singapore-job-ad/1970503/up-to-18hr/cornerstone-global-partners-pte-ltd/
THE SUPREME HR ADVISORY,,83390732,,https://www.fastjobs.sg/singapore-job-ad/1969004/part-time-weekend/the-supreme-hr-advisory/
RecruitFirst Pte Ltd,,"65838153831,83815383",,https://www.fastjobs.sg/singapore-job-ad/1967689/parttimecasual-attraction-crew-usher/recruitfirst-pte-ltd/
RAPID RECRUITMENT ASIA PTE. LTD.,,84299215,,https://www.fastjobs.sg/singapore-job-ad/1969168/passenger-service-attendant/rapid-recruitment-asia-pte-ltd/
