name,email,phone,url
ACEMAX CONSULTANCY SDN. BHD.,bensonseah128@gmail.com,,https://my.joblum.com/job/accounts-assistant-accounts-executive/1262453
ANCUBIC CAPITAL SDN BHD,www@ancubic.com,,https://my.joblum.com/job/accounts-executive/1261886
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Edward.Yip@hays.com.my,,https://my.joblum.com/job/senior-finance-executive/1257575
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Jaclyn.Soh@hays.com.my,,https://my.joblum.com/job/fp-a-manager/1263395
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Mega.Govindan@hays.com.my,,https://my.joblum.com/job/audit-training-manager-fnb-division/1258146
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Thengwern.Heon@hays.com.my,,https://my.joblum.com/job/head-of-taxation-treasury/1254968
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Timothy.Yeo@hays.com.my,,https://my.joblum.com/job/finance-executive/1263030
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Yip@hays.com.my,,https://my.joblum.com/job/group-accountant/1254773
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,justine.teh@hays.com.my,,https://my.joblum.com/job/group-accountant/1255610
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,shaun.loo@hays.com.my,,https://my.joblum.com/job/senior-finance-executive/1259745
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,sheryn.chan@hays.com.my,,https://my.joblum.com/job/senior-finance-manager/1258437
Ambition Group Malaysia Sdn Bhd,Andrew.Chua@ambition.com.my,,https://my.joblum.com/job/senior-accounts-receivable-collection-analyst/1259115
Ambition Group Malaysia Sdn Bhd,Andrew.chua@ambition.com.my,,https://my.joblum.com/job/finance-assistant-manager-rtr-team-lead/1263076
Ambition Group Malaysia Sdn Bhd,junemin.ong@ambition.com.my,,https://my.joblum.com/job/costing-assistant-manager/1263875
Apex Office Furniture Exporter Sdn Bhd,hrd@apexof.com.my,,https://my.joblum.com/job/production-assistant/1253684
Autocraft Motor Carriages Sdn Bhd,perodua.outlet@gmail.com,,https://my.joblum.com/job/customer-service-start-immediately/1260369
BG WELLNESS SDN. BHD.,info@pevonia.com.my,,https://my.joblum.com/job/chinese-video-editor/1247302
Baxter Healthcare (Malaysia) Sdn Bhd,Americas_TTA@baxter.com,,https://my.joblum.com/job/global-fixed-assets-accountant-1-year-contract/1256663
Bina Puri Holdings Berhad,norjazliana@binapuri.com.my,,https://my.joblum.com/job/account-executive/1257011
Brican Success PLT,hr@brican.com.my,,https://my.joblum.com/job/english-trainer-for-professionals/1253827
Capital Dynamics Asset Management Sdn Bhd,careers@icapital.biz,,https://my.joblum.com/job/equity-analyst/1256272
Cheowood Sdn bhd,cheowod@gmail.com,,https://my.joblum.com/job/account-executive-accounting-assistant-ae-aa/1255011
DELTA FRONTIER SDN. BHD.,HR@DeltaFrontier.com,,https://my.joblum.com/job/accounting-cum-office-admin/1253534
ESRI Malaysia Sdn Bhd,ttorche@bousteadgeospatial.com,,https://my.joblum.com/job/finance-manager-bgt-malaysia-kuala-lumpur/1256198
Esteem Energy Engineering Sdn Bhd,admin@esteem.com.my,,https://my.joblum.com/job/admin-assistant-bintulu/1252380
Fire Bender Import and Export Sdn Bhd,firebenderimportexport@gmail.com,,https://my.joblum.com/job/accounts-clerk/1256527
Flex,accessibility@flex.com,,https://my.joblum.com/job/cost-accounting-manager/1262668
Front Tech Engineering Sdn Bhd,admin@fronttech.com.my,,https://my.joblum.com/job/account-executive/1263176
GrowthOps,talent@growthops.com.au,,https://my.joblum.com/job/junior-designer/1262124
HS Teoh & Co,hsteohco@gmail.com,,https://my.joblum.com/job/audit-assistants/1257043
Hytech Consulting Management Sdn Bhd,Jacklyn.ng@hytechc.com,,https://my.joblum.com/job/copywriter/1247551
J.S. Lim & Co.,jslimhr@hotmail.com,,https://my.joblum.com/job/audit-assistant-kota-damansara/1260613
JS MANAGEMENT SERVICES SDN BHD,jslimhr@hotmail.com,,https://my.joblum.com/job/secretary-assistant-kota-damansara/1260675
JWA DESIGN & BUILD SDN. BHD.,hr@jwadesignbuild.com,,https://my.joblum.com/job/business-association-secretary/1264190
Jaya Bintang Sdn Bhd,hrjayabintang@gmail.com,,https://my.joblum.com/job/account-executive/1258111
LIKWID,info.lkwid@gmail.com,,https://my.joblum.com/job/underwater-videographer-trainee/1255141
LIM CHONG WEE & CO,limpartners_tax@outlook.com,,https://my.joblum.com/job/audit-assistant-skudai/1262515
Lefis Consulting Sdn Bhd,hr@lefisconsulting.com,,https://my.joblum.com/job/accounting-associate/1261492
Lingua Technologies International Pte Ltd,jobs@translationsingapore.com,,https://my.joblum.com/job/full-time-remote-junior-editor/1264179
M EAST SDN. BHD.,recruitment2024@marlboroughcollege.my,,https://my.joblum.com/job/head-of-academic-pe/1253160
Malaysiakini.com,hr@malaysiakini.com,,https://my.joblum.com/job/sub-editor/1255389
Mec Jati Consortium Sdn. Bhd.,recruitment@mecjati.com,,https://my.joblum.com/job/admin-document-controller-bandar-kinrara-puchong/1262772
Merlin Entertainments Group,Recruitment@Merlinentertainments.biz,,https://my.joblum.com/job/lego-production-costing-lead/1253462
OMM MEDIA SDN. BHD.,ask@omm.media,,https://my.joblum.com/job/videographer-cum-editor/1241578
Optimo International Sdn Bhd,emelia@optimo.my,,https://my.joblum.com/job/admin-assistant/1263322
PEMBINAAN KEKAL MEWAH SDN BHD,accvacancy8@gmail.com,,https://my.joblum.com/job/accounts-officer/1264192
PERMAI PURA CONSTRUCTION SDN. BHD.,ninurulla@yahoo.com,,https://my.joblum.com/job/account-assistant/1259913
PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,Ashikin_Malihi@persolkelly.com,,https://my.joblum.com/job/internal-control-specialist-audit-risk/1255958
PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,Azril_Zubir@persolkelly.com,,https://my.joblum.com/job/project-secretary-oil-gas/1263657
PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,Gina_Ho@persolkelly.com,,https://my.joblum.com/job/finance-treasury-executive-mndarin-speaker/1257187
PROLINE TAX SERVICES SDN. BHD.,proline_hr@yahoo.com,,https://my.joblum.com/job/tax-seniors-assistants/1255491
PS Solutions,amr.vacancypssb@gmail.com,,https://my.joblum.com/job/senior-account-shah-alam/1261564
Pantech Corporation Sdn Bhd,psa-hr@pantechssalloy.com,,https://my.joblum.com/job/account-assistant/1263297
Premium Language Centre,adrianlim@premium.edu.my,,https://my.joblum.com/job/english-language-instructor/1240248
Proline Management Services Sdn Bhd,proline_hr@yahoo.com,,https://my.joblum.com/job/company-secretary-icsa/1255091
"Qingdao Huafeng Weiye Electric Power Technology Engineering Co., Ltd.",nishiyaoguaiba@gmail.com,,https://my.joblum.com/job/finance/1263883
SHAREC SDN. BHD.,liow@sharec.co,,https://my.joblum.com/job/senior-audit-associate/1257897
SSY CONSULTANCY SDN. BHD.,queeneesee@gmail.com,,https://my.joblum.com/job/account-assistant/1262393
SUNBRIGHT AUTO PARTS SUPPLY SDN. BHD.,sunbrightauto7889@yahoo.com,,https://my.joblum.com/job/admin-assistant/1264062
Scientex Bhd.,xuewah@scientex.com.my,,https://my.joblum.com/job/sales-coordinator-hq/1263326
Selangor Dredging Berhad,careers@sdb.com.my,,https://my.joblum.com/job/senior-admin-procedure-executive/1252901
Sunway Education Group,sarahchan@sunway.edu.my,,https://my.joblum.com/job/manager-finance-and-operations-30010/1255519
TAEL Management Co (M) Sdn Bhd,recruitments@taelpartners.com,,https://my.joblum.com/job/confidential-investment-team-administrator/1252578
Tay Chambers,serene.tan@taychambers.com,,https://my.joblum.com/job/conveyancing-clerk-experienced/1259607
Thinker EngineeringSdn Bhd,admin@thinker.digital,,https://my.joblum.com/job/procurement-cum-admin-assistant/1262884
Vanli Auto Spares Sdn Bhd,hr@vanli.com.my,,https://my.joblum.com/job/purchasing-assistant-cai-gou-zhu-li/1252661
VivaHomes Realty (HQ),theresatsau.vivahomes@gmail.com,,https://my.joblum.com/job/accounts-executive-mandarin-speaker/1255355
Western Digital,staffingsupport@wdc.com,,https://my.joblum.com/job/senior-manager-hr-operations/1255716
YH Tan & Associates PLT,enquiry@yhtanmy.com,,https://my.joblum.com/job/internship-for-accounting-students/1259167
YKL ENGINEERING SDN BHD,nbc@yklgroup.com.my,,https://my.joblum.com/job/account-executive/1256867
mingfeng marketing,hr.enestgroup@gmail.com,,https://my.joblum.com/job/accounts-assistant/1263321
